x,y,end_x,end_y,playername,goal_id,pass_id,scorer,time,match_date,match_opponent
111.3,69.7,116.4,41.8,Lionel Andrés Messi Cuccittini,1,1,Lionel Andrés Messi Cuccittini,00:34:35.083,2022-12-03,Australia
100.4,52.7,109,68.4,Alejandro Darío Gómez,1,2,Lionel Andrés Messi Cuccittini,00:34:35.083,2022-12-03,Australia
109,68.4,102.9,65.6,Lionel Andrés Messi Cuccittini,1,3,Lionel Andrés Messi Cuccittini,00:34:35.083,2022-12-03,Australia
102.9,65.6,95.5,50.8,Lionel Andrés Messi Cuccittini,1,4,Lionel Andrés Messi Cuccittini,00:34:35.083,2022-12-03,Australia
95.5,50.8,97.4,49.2,Alexis Mac Allister,1,5,Lionel Andrés Messi Cuccittini,00:34:35.083,2022-12-03,Australia
97.4,49.2,106,52.6,Alexis Mac Allister,1,6,Lionel Andrés Messi Cuccittini,00:34:35.083,2022-12-03,Australia
106,52.6,106.7,51.5,Nicolás Hernán Otamendi,1,7,Lionel Andrés Messi Cuccittini,00:34:35.083,2022-12-03,Australia
106.7,51.5,105.2,49.2,Nicolás Hernán Otamendi,1,8,Lionel Andrés Messi Cuccittini,00:34:35.083,2022-12-03,Australia
105.2,49.2,104.2,48.9,Lionel Andrés Messi Cuccittini,1,9,Lionel Andrés Messi Cuccittini,00:34:35.083,2022-12-03,Australia
104.2,48.9,120,37.1,Lionel Andrés Messi Cuccittini,1,10,Lionel Andrés Messi Cuccittini,00:34:35.083,2022-12-03,Australia
110.4,50.3,120,36.5,Julián Álvarez,2,1,Julián Álvarez,00:11:41.079,2022-12-03,Australia
64.9,80,52.8,77.1,Nahuel Molina Lucero,3,1,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
53.3,77,37.1,52.6,Cristian Gabriel Romero,3,2,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
37.1,52.6,50.1,44.4,Nicolás Hernán Otamendi,3,3,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
50.1,44.4,63.1,21.7,Nicolás Hernán Otamendi,3,4,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
64.7,21.1,38.6,23.5,Marcos Javier Acuña,3,5,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
38.6,23.5,38.9,23.7,Lisandro Martínez,3,6,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
38.9,23.7,37.5,35.1,Lisandro Martínez,3,7,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
37.5,35.1,44.7,45.4,Nicolás Hernán Otamendi,3,8,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
44.7,45.4,57.5,75.4,Nicolás Hernán Otamendi,3,9,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
57.5,75.4,65.4,76.1,Cristian Gabriel Romero,3,10,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
65.4,76.1,73.1,76.3,Cristian Gabriel Romero,3,11,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
73.1,76.3,73.1,76.3,Lionel Andrés Messi Cuccittini,3,12,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
73.1,76.3,77.3,69,Lionel Andrés Messi Cuccittini,3,13,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
77.3,69,75.2,76.6,Rodrigo Javier De Paul,3,14,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
46,47.6,47.2,50.3,Nicolás Hernán Otamendi,3,15,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
47.2,50.3,57.8,69.2,Nicolás Hernán Otamendi,3,16,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
57.8,69.2,81.5,69.2,Nahuel Molina Lucero,3,17,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
81.5,69.2,74.2,71.1,Nahuel Molina Lucero,3,18,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
74.2,71.1,85.6,44.9,Lionel Andrés Messi Cuccittini,3,19,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
85.6,44.9,103.4,50.6,Lionel Andrés Messi Cuccittini,3,20,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
103.4,50.6,109.1,42.4,Nahuel Molina Lucero,3,21,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
109.1,42.4,120,36.5,Nahuel Molina Lucero,3,22,Nahuel Molina Lucero,00:34:04.090,2022-12-09,Netherlands
41.8,59,53.1,61.8,Alexis Mac Allister,4,1,Ángel Fabián Di María Hernández,00:35:22.647,2022-12-18,France
53.1,61.8,52.9,61.8,Lionel Andrés Messi Cuccittini,4,2,Ángel Fabián Di María Hernández,00:35:22.647,2022-12-18,France
52.9,61.8,62.5,68.2,Lionel Andrés Messi Cuccittini,4,3,Ángel Fabián Di María Hernández,00:35:22.647,2022-12-18,France
62.5,68.2,63.2,68.2,Julián Álvarez,4,4,Ángel Fabián Di María Hernández,00:35:22.647,2022-12-18,France
63.2,68.2,99.3,54.9,Julián Álvarez,4,5,Ángel Fabián Di María Hernández,00:35:22.647,2022-12-18,France
99.3,54.9,111.8,32.1,Alexis Mac Allister,4,6,Ángel Fabián Di María Hernández,00:35:22.647,2022-12-18,France
111.8,32.1,120,41.7,Ángel Fabián Di María Hernández,4,7,Ángel Fabián Di María Hernández,00:35:22.647,2022-12-18,France
42.8,72.5,43.2,74.4,Gonzalo Ariel Montiel,5,1,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
43.2,74.4,43.9,63.5,Gonzalo Ariel Montiel,5,2,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
43.9,63.5,44.1,56,Leandro Daniel Paredes,5,3,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
44.1,56,46,22,Leandro Daniel Paredes,5,4,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
46,22,42.6,15.1,Nicolás Alejandro Tagliafico,5,5,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
42.6,15.1,34.3,18.1,Nicolás Alejandro Tagliafico,5,6,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
34.3,18.1,33.2,23.9,Nicolás Hernán Otamendi,5,7,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
33.2,23.9,32.8,56.9,Nicolás Hernán Otamendi,5,8,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
32.8,56.9,32.3,61.8,Cristian Gabriel Romero,5,9,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
32.3,61.8,45.6,76.1,Cristian Gabriel Romero,5,10,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
