x,y,end_x,end_y,playername
42.8,72.5,43.2,74.4,Gonzalo Ariel Montiel
43.2,74.4,43.9,63.5,Gonzalo Ariel Montiel
43.9,63.5,44.1,56,Leandro Daniel Paredes
44.1,56,46,22,Leandro Daniel Paredes
46,22,42.6,15.1,Nicolás Alejandro Tagliafico
42.6,15.1,34.3,18.1,Nicolás Alejandro Tagliafico
34.3,18.1,33.2,23.9,Nicolás Hernán Otamendi
33.2,23.9,32.8,56.9,Nicolás Hernán Otamendi
32.8,56.9,32.3,61.8,Cristian Gabriel Romero
32.3,61.8,45.6,76.1,Cristian Gabriel Romero
45.6,76.1,50.1,73.5,Enzo Fernandez
50.1,73.5,110,60.3,Enzo Fernandez
42.8,43.4,43.2,46.2,Leandro Daniel Paredes
43.2,46.2,63.1,70.8,Leandro Daniel Paredes
63.1,70.8,64.2,74,Gonzalo Ariel Montiel
64.2,74,94.2,56.4,Gonzalo Ariel Montiel
94.2,56.4,91.2,58.8,Lautaro Javier Martínez
91.2,58.8,91.2,58.8,Lionel Andrés Messi Cuccittini
91.2,58.8,95.4,49.4,Lionel Andrés Messi Cuccittini
95.4,49.4,95.4,49.4,Enzo Fernandez
95.4,49.4,109.3,56.9,Enzo Fernandez
109.3,56.9,114.4,52,Lautaro Javier Martínez
114.4,52,118.7,44.1,Lautaro Javier Martínez
116.6,43,120,40.9,Lionel Andrés Messi Cuccittini
